[2026-05-22 14:27:55] [INFO] === ZAPRET MANAGER started ===
[2026-05-22 14:27:55] [INFO] OS: Microsoft Windows NT 10.0.26200.0 | .NET: 8.0.27
[2026-05-22 14:27:55] [INFO] Фоновая проверка обновлений запущена (интервал: каждый час)
[2026-05-22 14:27:55] [INFO] Tray-процесс запущен
[2026-05-22 23:41:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:42:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:43:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:44:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:45:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:46:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:47:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:48:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:49:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:50:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:51:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:52:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:53:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:54:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:55:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:56:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:57:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:58:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-22 23:59:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:00:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:01:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:02:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
